Sample	root	Viruses	unclassified Viruses	Duplodnaviria	Monodnaviria	Riboviria	Varidnaviria	Anelloviridae	Herpesviridae	Papillomaviridae	Parvoviridae	Smacoviridae	Circoviridae	Genomoviridae	Polyomaviridae	Adenoviridae	Poxviridae	Hepadnaviridae	Asfarviridae	Retroviridae
iL1910B_15	34063	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iL1911B_15	191461	24	1	17	1	2	1	0	7	0	1	0	0	0	0	0	1	0	0	0
iL1912B_15	40057	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iL1913B_15	21607	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iL1915Bdil2_13	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iL1916B_17	70789	74	1	25	46	0	1	0	9	25	0	0	0	3	18	0	1	0	0	0
iL1917B_17	3793	5	0	0	5	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0
iL1918Bdil2_17	79827	12	0	6	4	0	0	0	1	0	3	0	0	1	0	0	0	0	0	0
iL1954Bdil2_17	200723	14	2	8	1	1	1	0	2	0	0	0	0	1	0	1	0	0	0	0
iL1955Bdil2_17	418256	39	2	26	3	2	1	0	3	0	0	0	0	3	0	0	0	0	0	0
iL1956Bdil2_17	78561	20	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iL2024Bdil2_14	57641	10	0	7	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0
iL2025Bdil2_14	142737	34	0	30	3	0	1	0	1	0	1	0	0	1	1	0	1	0	0	0
iL2026B_15	59244	3	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
iL2027Bdil2_15	66730	9	0	4	1	3	1	0	0	0	1	0	0	0	0	0	0	3	0	0
iL2028B_14	84653	549	0	548	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
iL2029B_14	68326	6	0	2	3	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0
iL2030B_14	225788	17	2	12	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0
iL2031B_14	42732	23	1	16	5	0	0	0	0	1	2	0	0	1	1	0	0	0	0	0
iL2032B_14	6207	30	0	6	20	1	3	0	2	0	8	0	0	9	3	2	1	0	0	0
iL2033B_15	1041064	176	24	121	10	7	4	0	1	0	2	0	0	7	1	0	3	0	0	0
iL2034Bdil2_15	1937	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iL2035Bdil2_15	5331	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
iL2042Bdil3_13	12442	371	0	85	4	282	0	0	0	0	0	0	0	0	0	0	0	282	0	0
iL2043Bdil3_13	349279	34	2	16	4	3	4	0	2	0	0	0	0	4	0	0	1	0	0	1
iL2044Bdil3_13	162619	120	2	88	11	1	2	15	1	1	0	0	0	6	4	0	0	0	0	0
iL2045Bdil2_13	43728	20	1	18	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
iL2046Bdil2_13	193315	21	0	18	2	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0
iL2047Bdil2_13	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iL2048Bdil2_13	603433	142	8	65	56	1	5	0	28	0	0	0	0	52	4	0	2	0	0	1
iL2049Bdil2_14	981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iL2050Bdil2_16	128195	40	3	17	17	1	1	0	0	0	14	0	0	3	0	0	1	0	0	0
iL2051B_17	9173	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iL2052B_17	26009	237	1	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iL2053Bdil2_17	130301	11	0	8	2	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0
iL-2138rB	1159312	104	4	54	26	4	7	2	4	0	2	0	0	1	23	1	2	0	0	3
iL2177B_16	49696	8	2	4	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
iL2178B_16	260563	19	3	13	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0
