Reads	Type
512880	1
1372756	1
9900119	1
576409	1
987338	1
631458	1
1189754	1
362660	1
369917	1
112565	1
669646	1
152237	1
178362	1
166	1
825276	1
409844	1
1723174	1
478459	1
545139	1
369531	1
203313	1
335922	1
593532	1
1774360	1
744248	1
986524	1
1948775	1
570958	1
658621	1
1158279	1
253172	1
219820	1
324780	1
279771	1
898731	1
1148032	1
1101484	1
3631781	1
52076	1
183332	1
580559	1
183489	1
209216	1
331992	1
824594	1
326165	1
178776	1
1124168	1
745801	1
1677445	1
711909	1
188	1
1927041	1
3692	1
1043165	1
197727	1
674143	1
867828	1
3934447	1
5429482	1
422704	1
944844	1
1086822	1
947796	1
364388	1
1074627	1
487673	1
542038	1
479140	1
1153833	1
1053805	1
700584	1
466982	1
803496	1
1560198	1
229834	1
740160	1
983649	1
1504173	1
3756407	1
6344721	1
574681	1
568347	1
656333	1
14	1
339187	1
277463	1
733442	1
559846	1
1194211	1
464000	1
556739	1
372069	1
968974	1
3827418	1
758778	1
1420551	1
1275606	1
7755196	1
7098426	1
2252948	1
3708065	1
3448297	1
491831	1
314818	1
374563	1
5770276	1
2241555	1
2368159	1
961069	1
4546486	1
5543763	1
1789034	1
1627503	1
1121324	1
2939602	1
1135377	1
3714651	1
1155953	1
2180556	1
7076746	1
1818640	1
4303590	1
3538412	1
1240124	1
3555147	1
1184388	1
5032498	1
560117	1
1590136	1
353964	1
1928118	1
2049078	1
1504998	1
3580270	1
2107899	1
1939413	1
3068970	1
3238892	1
2597177	1
7286242	1
45076183	1
3982943	1
4992053	1
1439430	1
807598	1
1589421	1
149105	1
914918	1
2330236	1
350769	1
3447466	1
818911	1
949909	1
1081002	1
765410	1
7056950	1
3716435	1
3506197	1
5124224	1
1611553	1
749953	1
651835	1
918709	1
1414083	1
823941	1
3822895	1
3025687	1
1830475	1
1180987	1
187024	1
5174877	1
1937531	1
3938199	1
1332204	1
1458765	1
671500	1
4822428	1
2848157	1
7208279	1
2458379	1
1505311	1
8984497	1
1194548	1
2921445	1
2211776	1
1194507	1
13428908	1
2303144	1
604868	1
3636452	1
5806969	1
4352	1
1193144	1
2531125	1
1113287	1
3240294	1
979135	1
618942	1
1564776	1
2011576	1
3172481	1
449253	1
968519	1
2217126	1
856657	1
1842081	1
680461	1
957276	1
3054052	1
1930230	1
1072810	1
1826157	1
1668436	1
484186	2
1195343	2
5962220	2
537174	2
676755	2
451112	2
1081441	2
286901	2
326037	2
77750	2
482735	2
112744	2
83810	2
143	2
255512	2
108425	2
565425	2
369657	2
439890	2
39126	2
32857	2
273085	2
237242	2
216398	2
310562	2
761510	2
1625063	2
340355	2
209332	2
374584	2
187208	2
160313	2
271463	2
217287	2
613448	2
175144	2
72960	2
2352579	2
13890	2
52224	2
538084	2
121988	2
92322	2
252002	2
753428	2
282155	2
89996	2
1078204	2
573721	2
184395	2
625200	2
136	2
1811637	2
3366	2
692043	2
78700	2
284836	2
669871	2
3210635	2
4075811	2
244356	2
801107	2
411579	2
378199	2
222994	2
946818	2
360068	2
461769	2
340575	2
1091045	2
1012517	2
467050	2
335803	2
567478	2
1487825	2
17905	2
495712	2
888042	2
175054	2
3406567	2
5960578	2
246954	2
351718	2
134148	2
13	2
167130	2
75479	2
277087	2
342415	2
181638	2
303988	2
414297	2
258085	2
270101	2
3680446	2
571190	2
1238122	2
1135694	2
7515439	2
6764938	2
2086554	2
2755669	2
2893659	2
323421	2
127131	2
255270	2
1737051	2
2140004	2
1901443	2
905117	2
2953699	2
5462250	2
1388027	2
1566545	2
1091472	2
2790583	2
1081783	2
3655833	2
1081444	2
2104198	2
7003539	2
1800282	2
4205074	2
3501344	2
1213209	2
3536432	2
1067891	2
5027072	2
524866	2
1503894	2
346247	2
1912821	2
2039805	2
1475868	2
3107839	2
2072265	2
1473628	2
2786643	2
3067165	2
2437917	2
7130347	2
44925283	2
3769962	2
4653786	2
1414378	2
791805	2
1467762	2
143499	2
877185	2
2212384	2
333004	2
3420675	2
789205	2
942128	2
1056667	2
761050	2
6995417	2
3655017	2
3312122	2
5028205	2
1510875	2
609219	2
643326	2
912413	2
1333230	2
816917	2
3765332	2
2984159	2
1821415	2
1121492	2
119151	2
5153748	2
1920219	2
3916721	2
1312666	2
1444239	2
605971	2
4775213	2
2808009	2
7175898	2
2378462	2
1487017	2
8962006	2
1186800	2
2915645	2
2205252	2
1183659	2
13319921	2
2245997	2
546235	2
3588935	2
5707000	2
4152	2
1183479	2
2512689	2
1110523	2
3205671	2
972750	2
616632	2
1558205	2
1998822	2
3157014	2
446218	2
963916	2
2192342	2
839440	2
1812518	2
666527	2
948677	2
3050235	2
1922361	2
1054374	2
1823494	2
1659872	2
380824	3
861945	3
944068	3
408230	3
483201	3
282608	3
494760	3
218687	3
252838	3
49656	3
316043	3
69449	3
56485	3
66	3
101946	3
43909	3
208260	3
289981	3
340150	3
24210	3
19537	3
214566	3
176610	3
102896	3
81188	3
289224	3
608436	3
118653	3
111911	3
206460	3
117600	3
96940	3
153266	3
126494	3
323623	3
86447	3
24364	3
1468099	3
6973	3
22071	3
277035	3
62140	3
45841	3
122383	3
367978	3
145623	3
49027	3
539396	3
309959	3
85302	3
336970	3
74	3
864040	3
1318	3
385341	3
23272	3
67544	3
354586	3
2183129	3
1617499	3
152700	3
423577	3
181546	3
167595	3
135272	3
485054	3
282215	3
281676	3
204167	3
641093	3
586422	3
254364	3
192127	3
320752	3
860327	3
11141	3
282916	3
505232	3
56033	3
607879	3
1154097	3
95220	3
138754	3
51540	3
10	3
61039	3
36843	3
113947	3
100207	3
70167	3
97566	3
167884	3
84747	3
92957	3
812627	3
158056	3
286281	3
479641	3
1422837	3
1386974	3
464148	3
548738	3
550821	3
127483	3
47352	3
77152	3
196771	3
420073	3
328419	3
164940	3
566477	3
929636	3
234579	3
268929	3
177275	3
530539	3
203565	3
870757	3
382148	3
660096	3
2256012	3
445951	3
1220605	3
901938	3
403927	3
1314841	3
323859	3
1663684	3
332239	3
888527	3
141632	3
806221	3
876494	3
836716	3
1764635	3
699461	3
933708	3
1482015	3
1600415	3
1261543	3
2529112	3
11717781	3
2170986	3
2339539	3
552283	3
284686	3
564538	3
41833	3
330268	3
906658	3
138099	3
1223125	3
274386	3
336932	3
330550	3
206204	3
1947295	3
1025411	3
1093803	3
1596017	3
510240	3
223988	3
206301	3
248097	3
450810	3
247620	3
1074496	3
740863	3
590601	3
372125	3
70071	3
1562363	3
822064	3
1718124	3
568704	3
368349	3
283711	3
2004259	3
912082	3
2709445	3
780861	3
461066	3
2656874	3
362289	3
795284	3
683332	3
329329	3
3819402	3
612097	3
176734	3
875026	3
1640329	3
1525	3
331094	3
657437	3
417809	3
1200172	3
334696	3
234943	3
564548	3
815024	3
1163509	3
165975	3
344287	3
1127722	3
378891	3
889489	3
333685	3
430650	3
1366464	3
922147	3
514369	3
861517	3
685830	3
